query	group	base	exact	refined	page_type	comment
австралийский университет в дубае	Австралийский университет в Дубае	220	176	176	Страница университета	Создать страницу, оптимизировать мета-теги
агентства по поступлению в италию	Агенства по поступлению в Италию	43	20	5	Страница университета	Создать страницу, оптимизировать мета-теги
американский университет в дубае	Американский университет в Дубае	182	62	52	Страница университета	Создать страницу, оптимизировать мета-теги
аспирантура в венгрии	Аспирантура в Венгрии	9	2	2	Страница университета	Создать страницу, оптимизировать мета-теги
аспирантура в европе	Аспирантура в Европе	188	17	17	Страница университета	Создать страницу, оптимизировать мета-теги
бакалавриат в китае грант	бакалавриат в китае грант	193	12	8	Страница гранта	https://goandstudy.com/postupit-v-kitaj
бакалавриат в китай на английском	бакалавриат в китай на английском	284	0	0	Страница программы	https://goandstudy.com/bakalavriat-v-kitae-na-anglijskom
обучение в китае на английском языке бакалавриат		96	22	22		
бакалавриат в сша	Бакалавриат в США	1560	50	50	Страница программы	https://goandstudy.com/bakalavriat-v-ssha
бесплатные университеты за границей	Бесплатные университеты за границей	509	28	28	Страница университета	Создать страницу, оптимизировать мета-теги
бесплатные университеты за границей для русских		147	17	17		
бизнес школа в дубай	Бизнес школа в Дубае	33	10	0	Страница университета	https://goandstudy.com/biznes-shkola-v-dubae
бизнес школа в китай	Бизнес школы Китая	164	18	0	Страница университета	Создать страницу, оптимизировать мета-теги
венский медицинский университет австрия	Венский медицинский университет Австрия	54	21	21	Страница университета	Создать страницу, оптимизировать мета-теги
венский университет австрия	Венский университет Австрия	998	322	322	Страница университета	Создать страницу, оптимизировать мета-теги
австрия университеты на английском	ВУЗы австрии на английском	318	13	13	Страница университета	https://goandstudy.com/universitety-avstrii-na-anglijskom
университеты австрии на английском языке		151	27	13		
вуз в италию на английском	ВУЗы в Италии на английском	252	3	0	Страница университета	Создать страницу, оптимизировать мета-теги
вузы в китае для русских	ВУЗы Китая	1198	70	42	Страница университета	https://goandstudy.com/universitety-v-kitae
поступление в вуз китая		1992	149	55		
поступление в институт китая		116	6	6		
университет в китай на английском	ВУЗы Китая на английском	1937	0	0	Страница статьи 	https://goandstudy.com/blog/v-kakie-kitayskie-universitety-mozhno-postupit-s-angliyskim
университеты в китае на английском языке		1033	74	74		
высшее образование в австрии	Высшее образование в Австрии	351	76	76	Страница программы	Создать страницу, оптимизировать мета-теги
высшее образование в венгрии	Высшее образование в Венгрии	170	20	20	Страница программы	Создать страницу, оптимизировать мета-теги
бесплатное высшее образование в европе	Высшее образование в Европе	498	43	36	Страница программы	Создать страницу, оптимизировать мета-теги
высшее образование в оаэ	Высшее образование в ОАЭ	175	24	24	Страница программы	Создать страницу, оптимизировать мета-теги
высшее образование в сша	Высшее образование в США	3737	124	124	Страница программы	https://goandstudy.com/vysshee-obrazovanie-v-ssha
обучение в сша высшее образование		17	0	0		
высшее образование за границей	Высшее образование за границей	3807	133	133	Страница программы	Создать страницу, оптимизировать мета-теги
