вердикт	исходный адрес	ответ	конечный адрес	canonical	ссылок
однозначная	/kontakty	200	https://goandstudy.com/kontakty/	https://goandstudy.com/kontakty/	2
однозначная	/uslugi	200	https://goandstudy.com/uslugi/	https://goandstudy.com/uslugi/	6
однозначная	/yazykovye-kursy	200	https://goandstudy.com/yazykovye-kursy/	https://goandstudy.com/yazykovye-kursy/	6
однозначная	/grant-v-kitaj	200	https://goandstudy.com/postupit-v-kitaj/	https://goandstudy.com/postupit-v-kitaj/	1
чужой canonical	/yazykovye-kursy-kitajskogo-yazyka-v-kitae	200	https://goandstudy.com/yazykovye-kursy/#schools-china	https://goandstudy.com/yazykovye-kursy/	1
однозначная	/srednee-obrazovanie	200	https://goandstudy.com/srednee-obrazovanie/	https://goandstudy.com/srednee-obrazovanie/	4
однозначная	/vysshee-obrazovanie	200	https://goandstudy.com/vysshee-obrazovanie/	https://goandstudy.com/vysshee-obrazovanie/	10
однозначная	/kak-poluchit-vizu-na-yazykovye-kursy	200	https://goandstudy.com/blog/kak-poluchit-vizu-na-yazykovye-kursy-za-granicej/	https://goandstudy.com/blog/kak-poluchit-vizu-na-yazykovye-kursy-za-granicej/	1
однозначная	/postuplenie-v-velikobritaniyu	200	https://goandstudy.com/postuplenie-v-velikobritaniyu/	https://goandstudy.com/postuplenie-v-velikobritaniyu/	3
однозначная	/italiya/kak-poehat-uchitsya-v-italiyu	200	https://goandstudy.com/blog/kak-poehat-uchitsya-v-italiyu/	https://goandstudy.com/blog/kak-poehat-uchitsya-v-italiyu/	1
однозначная	/blog/kak-poluchit-studencheskuyu-vizu-v-italiyu	200	https://goandstudy.com/blog/kak-poluchit-studencheskuyu-vizu-v-italiyu/	https://goandstudy.com/blog/kak-poluchit-studencheskuyu-vizu-v-italiyu/	1
однозначная	/blog/stipendiya-daad	200	https://goandstudy.com/blog/stipendiya-daad/	https://goandstudy.com/blog/stipendiya-daad/	3
однозначная	/blog/postuplenie-v-germaniyu-posle-11-klassa	200	https://goandstudy.com/blog/	https://goandstudy.com/blog/	1
однозначная	/blog/besplatnoe-obrazovanie-v-germanii	200	https://goandstudy.com/blog/besplatnoe-obrazovanie-v-germanii/	https://goandstudy.com/blog/besplatnoe-obrazovanie-v-germanii/	4
однозначная	/vysshee-obrazovanie-v-ssha	200	https://goandstudy.com/postupit-v-ssha/	https://goandstudy.com/postupit-v-ssha/	1
однозначная	/magistratura-v-ssha	200	https://goandstudy.com/postupit-v-ssha/	https://goandstudy.com/postupit-v-ssha/	1
однозначная	/kolledzhi-v-ssha	200	https://goandstudy.com/postupit-v-ssha/	https://goandstudy.com/postupit-v-ssha/	1
однозначная	/universitety-v-ssha	200	https://goandstudy.com/postupit-v-ssha/	https://goandstudy.com/postupit-v-ssha/	1
чужой canonical	/yazykovye-kursy-v-ssha	200	https://goandstudy.com/yazykovye-kursy/#schools-usa	https://goandstudy.com/yazykovye-kursy/	1
однозначная	/stipendii	200	https://goandstudy.com/stipendii/	https://goandstudy.com/stipendii/	2
однозначная	/blog/chto-nuzhno-dlya-postuplenia-v-universitet-uk	200	https://goandstudy.com/blog/	https://goandstudy.com/blog/	1
однозначная	/blog/postuplenie-v-angliyu	200	https://goandstudy.com/blog/postuplenie-v-angliyu/	https://goandstudy.com/blog/postuplenie-v-angliyu/	1
однозначная	/yazykovye-kursy-za-granicej-dlya-vzroslyh	200	https://goandstudy.com/blog/yazykovye-kursy-za-granicej-dlya-vzroslyh/	https://goandstudy.com/blog/yazykovye-kursy-za-granicej-dlya-vzroslyh/	1
однозначная	/blog/obuchenie-v-shkole-v-ssha	200	https://goandstudy.com/blog/	https://goandstudy.com/blog/	1
однозначная	/blog/chem-kolledzh-v-ssha-otlichaetsya-ot-universiteta	200	https://goandstudy.com/blog/chem-kolledzh-v-ssha-otlichaetsya-ot-universiteta/	https://goandstudy.com/blog/chem-kolledzh-v-ssha-otlichaetsya-ot-universiteta/	2
однозначная	/blog/zhizn-studenta-v-germanii	200	https://goandstudy.com/blog/zhizn-studenta-v-germanii/	https://goandstudy.com/blog/zhizn-studenta-v-germanii/	2
однозначная	/blog/mozhno-li-rabotat-vo-vremya-yazykovyh-kursov-za-granicej	200	https://goandstudy.com/blog/	https://goandstudy.com/blog/	1
однозначная	/postuplenie-v-top-universitety-mira	200	https://goandstudy.com/strany/	https://goandstudy.com/strany/	1
